id,original_post
1,omg this is sooooo goooood i loveeee it
2,noooooo way that's soooo crazyyy
3,yessssss finally happened brooooo
4,i can't believe this nooooooo this is baaaaad
5,pleaseeeeee helpppp me i'm dyyyying
6,cooooool idea tbh pretty neeeeat
7,that's not faaaaair this is craaazy
8,happpppy birthday you're amazingggg
9,stooooop it right now i'm seriousssss
10,whaaaat no way that's imposssible
11,ohhhhh my gosh this is increditible
12,soooo tired i can't even moooove right now
13,greeeeat job everyone did sooo well
14,i'm screeeaming this is too funnnny
15,waaaaay better than before def improooved
16,seeeee what i meeeean everyone agrees now
17,that's sooooo dumb i can't even deal
18,booooring the whole thing was meh really
19,helllllo world welcome tooo my channel
20,thiiiis is absolutely amazingggg work
21,naaaah don't do that stay foccused pls
22,yeeeaaaah buddy that's what i'm talkin bout
23,yooooo check this cooool stuff out guys
24,huuuuuge difference i can't belieeeeve it
25,i'm liiiiike totally mind blown rn seriously
26,thattttt's increeedible news congrats yo
27,soooooooo many people showed up 2day
28,noooo please don't goooo i miss u already
29,goooood morning everyone have awesoooome day
30,i'm freezeeeeeezing so colllld outside ugh
31,alriiiight let's get this party starrrted
32,terrrrrible idea change your mind pls
33,luuuuv this song it's literally perrrfect
34,i'm deeeeeep in thought about this rn
35,suuuper excited for this weekend trips
36,reeeeeally need some help asap guys
37,caaan't stop smiling abt this news wow
38,beeeauuutiful sunset captured it on cam
39,siiiick move nobody saw that coming bro
40,diiiirty dirty business going down here
41,sweeeeet victory after such haaard work
42,fuuuund this cool app everyone should try
43,sooooo connected with people here fr
44,nooooo way i aint believin this story
45,heeeyyy friends let's hang out tonight
46,faaaar too complicated to explain tbh
47,riiiiight move mate finally some sense
48,chaaaaange your perspective on this real
49,aaaahhh moment that was so close call
50,beeeee yourself don't let others judge ok
51,looooove the vibes in this place right now
52,dooooom and gloom energy is strong today
53,baaaalance is key to life happiness mate
54,creeeepy story i won't sleep tonight oof
55,groooown so much since we last met crazy
56,peeeeak performance that's world class
57,stoooop eating junk start healthy now
58,waaaarriors mentality get that success
59,jooooy of life never forget what matters
60,gloooom lifted finally some sun yay
61,pooooor choices lead to consequences dude
62,blooooming flowers are so pretty rn
63,gloooooow up everyone's impressed today
64,swoooosh that's how you do it perfectly
65,flooooow with it don't resist change friend
66,eeeeeek scared but i got this attitude
67,booooost confidence time to shine bright
68,threeeee strikes you're out game over bud
69,troooope of old ideas we need fresh ones
70,smooooky vibes in this lounge so chill
71,proooove yourself show what you got now
72,frooozen solid this weather is insane bad
73,groooomies let's keep this friendship tight
74,theeeee best time of my entire life honestly
75,slooooow down take a break you need rest
76,skyyyyyyy looks amazing right now photo time
77,shrooooom trip was absolutely mind bending
78,thooooough question but i'll answer it true
79,knowwwww better act better be better bro
80,speeeeed of light nothing moves that fast
81,pooooooint taken i agree with this now
82,toooows the line don't cross it anymore
83,woooooo celebration time we did it friends
84,floooods of emotions i'm overwhelmed now
85,pooooooled resources we can do this thing
86,swoooollen feet from all the walking today
87,spoooooned feed me the truth not lies pls
88,snoooooow covered ground it's beautiful scene
89,sloooooope up the mountain getting higher
90,crooooook move that's not cool at all dude
91,brooooooke my heart completely destroyed
92,grooooown apart we're just different now
93,froooooze in place couldn't move forward bro
94,proooooduced quality work deserves praise
95,drooooopped everything just to help you out
96,stoooooored memories that's lifelong now
97,floooooored by this amazing opportunity wow
98,scooooooter rental was fun summer time
99,smoooooooth jazz vibes perfect for chilling
100,shooooooter skills got better keep trying
