id,original_post,normalized_post,repeated_char_count,chars_removed,char_reduction_percent,repeated_patterns
1,omg this is sooooo goooood i loveeee it,omg this is soo good i lovee it,3,8,20.51282051282051,"ooooo, ooooo, eeee"
2,noooooo way that's soooo crazyyy,noo way that's soo crazyy,3,7,21.875,"oooooo, oooo, yyy"
3,yessssss finally happened brooooo,yess finally happened broo,2,7,21.21212121212121,"ssssss, ooooo"
4,i can't believe this nooooooo this is baaaaad,i can't believe this noo this is baad,2,8,17.77777777777778,"ooooooo, aaaaa"
5,pleaseeeeee helpppp me i'm dyyyying,pleasee helpp me i'm dyying,3,8,22.857142857142858,"eeeeee, pppp, yyyy"
6,cooooool idea tbh pretty neeeeat,cool idea tbh pretty neeat,2,6,18.75,"oooooo, eeee"
7,that's not faaaaair this is craaazy,that's not faair this is craazy,2,4,11.428571428571429,"aaaaa, aaa"
8,happpppy birthday you're amazingggg,happy birthday you're amazingg,2,5,14.285714285714285,"ppppp, gggg"
9,stooooop it right now i'm seriousssss,stoop it right now i'm seriouss,2,6,16.216216216216218,"ooooo, sssss"
10,whaaaat no way that's imposssible,whaat no way that's impossible,2,3,9.090909090909092,"aaaa, sss"
11,ohhhhh my gosh this is increditible,ohh my gosh this is increditible,1,3,8.571428571428571,hhhhh
12,soooo tired i can't even moooove right now,soo tired i can't even moove right now,2,4,9.523809523809524,"oooo, oooo"
13,greeeeat job everyone did sooo well,greeat job everyone did soo well,2,3,8.571428571428571,"eeee, ooo"
14,i'm screeeaming this is too funnnny,i'm screeaming this is too funny,2,3,8.571428571428571,"eee, nnnn"
15,waaaaay better than before def improooved,waay better than before def improoved,2,4,9.75609756097561,"aaaaa, ooo"
16,seeeee what i meeeean everyone agrees now,see what i meean everyone agrees now,2,5,12.195121951219512,"eeeee, eeee"
17,that's sooooo dumb i can't even deal,that's soo dumb i can't even deal,1,3,8.333333333333332,ooooo
18,booooring the whole thing was meh really,booring the whole thing was meh really,1,2,5.0,oooo
19,helllllo world welcome tooo my channel,hello world welcome too my channel,2,4,10.526315789473683,"lllll, ooo"
20,thiiiis is absolutely amazingggg work,thiis is absolutely amazingg work,2,4,10.81081081081081,"iiii, gggg"
21,naaaah don't do that stay foccused pls,naah don't do that stay foccused pls,1,2,5.263157894736842,aaaa
22,yeeeaaaah buddy that's what i'm talkin bout,yeeaah buddy that's what i'm talkin bout,2,3,6.976744186046512,"eee, aaaa"
23,yooooo check this cooool stuff out guys,yoo check this cool stuff out guys,2,5,12.82051282051282,"ooooo, oooo"
24,huuuuuge difference i can't belieeeeve it,huuge difference i can't belieeve it,2,5,12.195121951219512,"uuuuu, eeee"
25,i'm liiiiike totally mind blown rn seriously,i'm liike totally mind blown rn seriously,1,3,6.8181818181818175,iiiii
26,thattttt's increeedible news congrats yo,thatt's increedible news congrats yo,2,4,10.0,"ttttt, eee"
27,soooooooo many people showed up 2day,soo many people showed up 2day,1,6,16.666666666666664,oooooooo
